datetime,Open,High,Low,Close,Volume
2022-06-06,29910.00000,31780.00000,29876.20000,31361.20000,436522.87400
2022-06-07,31361.20000,31599.00000,29190.00000,31118.10000,691714.98500
2022-06-08,31118.00000,31325.00000,29825.00000,30192.50000,455686.63700
2022-06-09,30192.60000,30691.90000,29914.50000,30093.30000,307312.17500
2022-06-10,30093.40000,30374.10000,28805.00000,29077.70000,445928.65900
2022-06-11,29077.70000,29427.90000,28080.00000,28416.70000,391367.81400
2022-06-12,28416.60000,28530.30000,26538.70000,26564.70000,560834.13100
2022-06-13,26564.70000,26877.00000,21900.00000,22471.50000,1622521.56000
2022-06-14,22471.40000,23424.20000,20823.00000,22122.70000,1247609.79600
2022-06-15,22122.70000,22800.00000,20100.20000,22567.50000,1509301.16900
2022-06-16,22567.50000,23000.00000,20222.00000,20387.40000,882634.22000
2022-06-17,20387.40000,21388.00000,20228.00000,20457.30000,776153.25700
2022-06-18,20457.30000,20768.40000,17593.20000,18959.70000,1268591.38800
2022-06-19,18959.70000,20821.00000,17935.90000,20564.20000,1089275.67400
2022-06-20,20564.30000,21099.90000,19630.00000,20570.10000,935816.13000
2022-06-21,20570.00000,21740.00000,20337.80000,20713.10000,787173.93600
2022-06-22,20713.10000,20888.00000,19745.70000,19977.40000,812184.19300
2022-06-23,19977.50000,21250.00000,19874.00000,21096.60000,698753.04000
2022-06-24,21096.60000,21563.50000,20732.50000,21231.20000,645450.77800
2022-06-25,21231.20000,21627.60000,20894.00000,21481.90000,434117.44700
2022-06-26,21481.90000,21888.00000,20952.00000,21029.10000,442787.73600
2022-06-27,21029.10000,21560.00000,20500.00000,20730.00000,539335.00900
2022-06-28,20730.00000,21198.00000,20188.00000,20268.60000,582916.10800
2022-06-29,20268.70000,20430.00000,19817.20000,20109.90000,608905.99000
2022-06-30,20109.90000,20165.00000,18563.00000,19923.50000,859981.41500
2022-07-01,19923.30000,20926.40000,18948.80000,19272.00000,915399.36300
2022-07-02,19272.00000,19456.00000,18959.00000,19240.90000,382851.52500
2022-07-03,19241.00000,19645.40000,18780.10000,19305.90000,449508.33100
2022-07-04,19306.00000,20350.00000,19046.30000,20226.60000,633310.18700
2022-07-05,20226.30000,20749.20000,19291.60000,20170.00000,854238.86700
2022-07-06,20170.10000,20667.60000,19753.00000,20554.10000,682076.45800
2022-07-07,20554.20000,21830.00000,20244.90000,21613.40000,699841.61600
2022-07-08,21614.50000,22579.90000,21175.20000,21587.90000,848144.49500
2022-07-09,21587.80000,22000.00000,21309.60000,21580.00000,393372.36600
2022-07-10,21580.00000,21594.20000,20600.00000,20853.80000,468176.53900
2022-07-11,20853.80000,20853.90000,19870.00000,19954.30000,561245.98700
2022-07-12,19954.30000,20048.90000,19228.30000,19322.90000,640560.72300
2022-07-13,19322.90000,20401.60000,18901.00000,20220.10000,975938.16500
2022-07-14,20220.10000,20900.00000,19600.00000,20578.60000,765989.53000
2022-07-15,20578.60000,21200.00000,20364.30000,20823.10000,626763.69200
2022-07-16,20823.10000,21580.00000,20471.00000,21183.50000,539206.87000
2022-07-17,21183.60000,21674.10000,20742.00000,20794.40000,485537.72800
2022-07-18,20794.40000,22800.00000,20764.40000,22423.90000,982867.73400
2022-07-19,22423.50000,23817.90000,21575.00000,23385.90000,1124029.08200
2022-07-20,23385.90000,24277.00000,22912.40000,23221.50000,946647.81500
2022-07-21,23221.50000,23441.10000,22340.20000,23144.50000,723543.46600
2022-07-22,23144.50000,23750.00000,22500.00000,22675.10000,633907.93400
2022-07-23,22675.00000,22990.00000,21933.50000,22440.20000,505887.67300
2022-07-24,22440.10000,22999.00000,22256.40000,22570.60000,462958.95300
2022-07-25,22570.60000,22656.80000,21232.00000,21300.00000,695770.65500
2022-07-26,21300.00000,21334.40000,20689.60000,21241.00000,552498.90300
2022-07-27,21241.00000,23100.00000,21031.00000,22941.10000,753370.30300
2022-07-28,22941.10000,24194.60000,22583.10000,23836.20000,756741.83600
2022-07-29,23836.20000,24500.00000,23426.30000,23771.10000,642337.05100
2022-07-30,23771.00000,24700.00000,23505.00000,23629.90000,493824.81600
2022-07-31,23630.00000,24187.30000,23222.00000,23290.10000,385969.85000
2022-08-01,23290.10000,23497.00000,22836.20000,23257.60000,498378.29200
2022-08-02,23257.60000,23448.70000,22603.00000,22975.10000,625227.91200
2022-08-03,22975.10000,23650.00000,22665.30000,22801.50000,569261.76800
2022-08-04,22801.50000,23211.30000,22370.00000,22608.90000,548268.81600
2022-08-05,22608.90000,23450.00000,22580.60000,23298.10000,593992.13000
2022-08-06,23298.00000,23341.80000,22883.60000,22943.30000,227659.39400
2022-08-07,22943.20000,23400.00000,22830.90000,23167.80000,271512.06200
2022-08-08,23167.90000,24243.00000,23153.10000,23804.40000,565084.21900
2022-08-09,23804.30000,23913.40000,22850.00000,23140.20000,498286.94300
2022-08-10,23140.10000,24235.20000,22608.00000,23940.90000,760738.20400
2022-08-11,23941.00000,24972.00000,23840.60000,23917.20000,760455.24500
2022-08-12,23917.30000,24438.80000,23560.00000,24387.50000,477734.04500
2022-08-13,24387.50000,24879.00000,24267.50000,24429.00000,431093.65900
2022-08-14,24429.00000,25065.00000,24138.00000,24294.10000,437314.32000
2022-08-15,24294.10000,25200.00000,23762.00000,24085.20000,739390.72100
2022-08-16,24085.20000,24234.00000,23650.00000,23843.00000,460919.99400
2022-08-17,23843.00000,24437.00000,23170.00000,23333.10000,640600.90300
2022-08-18,23333.10000,23595.00000,23101.00000,23185.10000,347699.00600
2022-08-19,23185.00000,23200.00000,20760.00000,20824.90000,906609.82500
2022-08-20,20825.00000,21368.90000,20742.90000,21127.80000,490507.04200
2022-08-21,21127.70000,21804.60000,21055.00000,21505.60000,424282.42400
2022-08-22,21505.60000,21550.00000,20858.60000,21387.00000,588764.59700
2022-08-23,21387.00000,21667.20000,20874.80000,21518.20000,609745.27000
2022-08-24,21518.20000,21925.60000,21132.30000,21354.90000,502728.19800
2022-08-25,21355.00000,21810.90000,21295.30000,21548.30000,415757.99200
2022-08-26,21548.30000,21867.60000,20100.00000,20228.70000,896474.35600
